Country,mined_raw_mat,Unit,2018,2019,2020,2021,2022
Canada,Platinum,(kg),7460,9633,5524,4484,5490
Canada,Rhodium,(kg),750,750,400,450,500
Canada,Silver,(kg),403589,398773,306913,319119,334480
Canada,Baryte,(t),50000,40000,40000,50000,50000
Canada,Diam. (Gem),(ct),22789001,18573661,14208812,16865216,17728144
Canada,Fluorspar,(t),20000,80000,50000,50000,20000
Canada,Graphite,(t),11000,4332,16239,9743,13000
Canada,Gypsum,(t),3240451,2444963,3049824,2896360,3174070
Canada,Magnesite,(t),150000,150000,160000,180000,230000
Canada,Potash,(t),14023931,12820345,13722423,14275819,15116101
Canada,Salt,(t),10713206,11896659,13282003,13188229,14640779
Canada,Sulfur,(t),5333000,4808913,4904051,4879000,4898600
Canada,Talc,(t),279000,243000,153293,153000,200000
Canada,Steam Coal,(t),17929000,15078380,13291550,12358380,12201040
Canada,Coking Coal,(t),29666000,29952270,25315420,26937110,26461240
Canada,Lignite,(t),9900000,8134855,7538920,8314510,6427680
Canada,Nat. Gas,(Mio m3),177794,170747,166936,173423,186121
Canada,Oil Sands*,(t),156864600,158766200,153043300,167022400,179386500
Canada,Petroleum,(t),258786900,265045900,253195200,266190400,271233300
Canada,Uranium,(t),8225,8230,4260,5622,6168
Cape Verde,Salt,(t),1000,1000,2585,2621,2600
Central African Republic,Gold,(kg),142,359,401,840,1507
Central African Republic,Diam. (Gem),(ct),10860,22040,49470,74220,90900
Central African Republic,Diam. (Ind),(ct),2710,5510,12370,18550,27150
Chad,Petroleum,(t),5750600,6316700,6303000,5799300,6160600
Chile,Iron,(t),8942638,8427224,9890886,11163294,11059801
Chile,Molybdenum,(t),60705,54759,59381,49427,45627
Chile,Copper,(t),5831600,5787400,5733100,5624900,5330400
Chile,Lead,(t),712,7,1386,382,457
Chile,Lithium,(t),38850,44940,49730,65060,110350
Chile,Mercury,(t),3,0,0,0,0
Chile,Rhenium,(kg),26052,24003,14549,18831,32303
Chile,Zinc,(t),26810,5620,28662,27915,24092
Chile,Gold,(kg),37066,38455,33895,34248,30966
Chile,Silver,(kg),1370237,1309321,1575794,1383041,1274363
Chile,Bentonite,(t),525,395,170,170,1372
Chile,Boron,(t),398411,352255,288103,363032,421935
Chile,Diatomite,(t),24736,21328,21477,27096,24279
Chile,Feldspar,(t),2789,55,329,0,0
Chile,Gypsum,(t),909191,977397,910310,1007206,978846
Chile,Kaolin,(t),88262,34801,38789,49533,44232
Chile,Perlite,(t),5020,4700,0,0,0
Chile,Phosphates,(t),1160,950,590,620,940
Chile,Potash,(t),991180,683540,966680,891450,676350
Chile,Salt,(t),10012105,10476823,9574159,8565307,10501352
Chile,Sulfur,(t),1734200,1518700,1735100,1662200,1591200
Chile,Steam Coal,(t),2294677,1606554,191562,18541,14950
Chile,Nat. Gas,(Mio m3),1221,1339,1316,1275,1355
Chile,Petroleum,(t),160330,161520,102640,109980,128510
China,Iron,(t),209243800,219375000,225400000,215700000,212900000
China,Chromium,(t),16330,27250,54440,67620,65050
China,Cobalt,(t),3100,3000,2200,2000,1750
China,Manganese,(t),1180000,1350000,1218000,900000,819000
China,Molybdenum,(t),98420,104670,95970,102600,107550
China,Nickel,(t),98963,104674,105048,104600,109400
China,Niobium,(t),20,20,30,30,40
China,Tantalum,(t),100,135,180,180,92
China,Titanium,(t),1932000,2306900,2911800,2856650,3144000
China,Tungsten,(t),68000,74950,71450,68660,65620
China,Vanadium,(t),53200,64700,69960,74100,78100
China,Aluminium,(t),36831000,35361600,37080400,38503200,40144300
China,Antimony,(t),70396,68422,60995,41480,39000
China,Arsenic,(t),24000,24000,24000,24000,24000
China,Bauxite,(t),70751000,73323700,70000000,68400000,74300000
China,Beryllium,(t),1250,1750,1750,1750,1850
China,Bismuth,(t),7000,7000,7500,8000,7500
China,Cadmium,(t),10349,10000,10000,10000,8700
China,Copper,(t),1618480,1683450,1942000,1964400,1925600
China,Gallium,(t),305,356,290,420,606
China,Germanium,(t),95,85,86,132,130
China,Indium,(t),395,490,528,540,667
China,Lead,(t),2033000,2097000,1969000,1964400,1945900
China,Lithium,(t),15300,19000,28800,30500,57900
China,Mercury,(t),2303,2046,1993,1400,637
China,Rare Earths,(t),120000,132000,140000,168000,210000
China,Rhenium,(kg),2500,2500,2500,2500,2500
China,Selenium,(t),930,1250,1120,1400,1400
China,Tellurium,(t),480,380,260,530,500
China,Tin,(t),87070,85584,94460,83144,67365
China,Zinc,(t),3721000,4213000,4058000,4136000,4041000
China,Gold,(kg),401119,380230,365340,328980,372048
China,Palladium,(kg),1300,1300,1300,1300,1300
China,Platinum,(kg),2500,2500,2500,2500,2800
China,Silver,(kg),3440000,3468000,3405800,3511600,3477400
China,Asbestos,(t),170000,125000,120000,130000,196000
China,Baryte,(t),2900000,2900000,2500000,2200000,2000000
China,Bentonite,(t),5600000,5600000,3650000,2500000,2100000
China,Boron,(t),80000,250000,250000,250000,300000
China,Diam. (Gem),(ct),99,51,21,0,0
China,Diatomite,(t),280000,420000,362000,200000,270000
China,Feldspar,(t),2500000,2450000,2450000,2450000,2500000
China,Fluorspar,(t),3500000,4000000,4300000,5400000,5700000
China,Graphite,(t),1164000,1185000,1090000,1189000,1161000
China,Gypsum,(t),25000000,25000000,25000000,25000000,25000000
China,Kaolin,(t),6650000,6400000,6500000,7240000,7822000
China,Magnesite,(t),19000000,19000000,19000000,18000000,17000000
China,Phosphates,(t),28897800,27997200,26679960,30869700,31423500
China,Potash,(t),5452000,5902000,5530000,5814600,5910000
China,Salt,(t),63636100,67014400,58526800,57065100,53598800
China,Sulfur,(t),13762700,14450000,15340000,15730000,16970000
China,Talc,(t),2000000,1800000,1300000,1400000,1400000
China,Vermiculite,(t),50000,50000,50000,40000,40000
China,Zircon,(t),150000,140000,140000,140000,140000
China,Steam Coal,(t),2850962000,2970445000,2999940000,3248607000,3589711000
China,Coking Coal,(t),530440000,538634000,561254300,547540900,554659000
China,Nat. Gas,(Mio m3),160159,175362,192495,207584,220110
China,Petroleum,(t),189324200,191628300,194768600,198881100,204722400
China,Uranium,(t),2223,2223,2223,1887,2005
Christmas Island,Phosphates,(t),111780,89010,120750,120290,128340
Colombia,Iron,(t),353950,300240,354200,337540,223870
Colombia,Manganese,(t),80,160,10,140,160
Colombia,Nickel,(t),43056,40571,36094,38301,41816
Colombia,Bauxite,(t),13666,18033,9595,49946,41479
Colombia,Copper,(t),9918,7641,9372,9194,6918
Colombia,Tin,(t),0,31,233,0,0
Colombia,Gold,(kg),35965,38006,48561,55321,51362
Colombia,Platinum,(kg),270,178,414,618,501
Colombia,Silver,(kg),16691,14479,19948,26698,35836
Colombia,Baryte,(t),3211,2270,2046,1164,1034
Colombia,Bentonite,(t),166778,145643,185418,88339,58815
Colombia,Feldspar,(t),141794,180235,134847,99755,132322
Colombia,Fluorspar,(t),46,0,0,0,0
Colombia,Graphite,(t),0,135,0,0,0
Colombia,Gypsum,(t),396373,294137,323157,408681,480748
Colombia,Kaolin,(t),70799,96051,29372,71699,40487
Colombia,Magnesite,(t),1039,1847,1077,3116,2694
Colombia,Phosphates,(t),13240,20480,14470,12960,10370
Colombia,Salt,(t),423316,376309,409976,370318,379081
Colombia,Sulfur,(t),155641,100203,69638,35930,36000
Colombia,Talc,(t),2522,1708,717,3170,5222
Colombia,Steam Coal,(t),81319300,81542200,51078400,55964300,57806700
Colombia,Coking Coal,(t),6120860,6137610,5051690,6218230,6422920
Colombia,Nat. Gas,(Mio m3),11590,11800,11770,12110,11890
Colombia,Petroleum,(t),43088900,44101940,38993490,36660230,37552230
"Congo, D.R.",Cobalt,(t),111713,78664,86591,93011,115371
"Congo, D.R.",Manganese,(t),5360,1780,1000,1000,5380
"Congo, D.R.",Niobium,(t),607,433,565,475,520
"Congo, D.R.",Tantalum,(t),644,460,600,505,550
"Congo, D.R.",Tungsten,(t),160,260,116,114,147
"Congo, D.R.",Copper,(t),1239059,1461124,1712964,1924374,2515847
